contractSymbol,strike,lastPrice_new,bid,ask,volume,openInterest_new,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,openInterest_old,lastPrice_old,oi_change,option_price_change,stock_price_change,market_cap,signal_type,stock_price_change_pct,option_price_change_pct,oi_change_abs,amount_threshold,amount_to_market_cap,amount_tier
ORCL260417C00300000,300.0,35.2,34.15,34.45,36.0,2992.0,0.5238389901733399,False,CALL,2026-04-17,ORCL,815.0,35.95,2177.0,-0.020862308762169678,-0.01662191273414869,805512250440.0,空头卖 Call，看跌/看不涨,-1.662191273414869,-2.086230876216968,2177.0,7663040.000000001,9.513250724385843e-06,5M-10M
HOOD270115C00175000,175.0,29.79,29.5,30.0,19.0,4136.0,0.6569553347778321,False,CALL,2027-01-15,HOOD,1567.0,27.85,2569.0,0.06965888689407532,0.01568903052449743,107467070071.0,多头买 Call，看涨,1.5689030524497432,6.965888689407532,2569.0,7653050.999999999,7.121298640545311e-05,5M-10M
NVDA251017C00175000,175.0,13.33,13.2,13.25,3200.0,35745.0,0.3518131225585937,True,CALL,2025-10-17,NVDA,41433.0,10.15,-5688.0,0.3133004926108374,0.02631283058960429,4330017000000.0,空头平仓 Call，回补信号，看涨,2.6312830589604292,31.330049261083744,-5688.0,7582103.999999999,1.7510564046284342e-06,5M-10M
MSTR251003C00312500,312.5,11.65,10.75,11.3,85.0,13907.0,0.637576866455078,True,CALL,2025-10-03,MSTR,20339.0,16.59,-6432.0,-0.29776974080771546,-0.027816974193752862,87634873800.0,多头平仓 Call，减仓，看涨减弱,-2.7816974193752864,-29.776974080771545,-6432.0,7493280.0,8.550568597954665e-05,5M-10M
FCX251031C00040000,40.0,1.29,1.29,1.31,3646.0,58037.0,0.4506890869140625,False,CALL,2025-10-31,FCX,1071.0,1.07,56966.0,0.20560747663551399,0.02909487775138388,51328925291.0,多头买 Call，看涨,2.909487775138388,20.5607476635514,56966.0,7348614.0,0.00014316711207839188,5M-10M
NVDA251017C00180000,180.0,9.66,9.65,9.7,14388.0,73761.0,0.3571841625976562,True,CALL,2025-10-17,NVDA,81345.0,6.9,-7584.0,0.39999999999999997,0.02631283058960429,4330017000000.0,空头平仓 Call，回补信号，看涨,2.6312830589604292,40.0,-7584.0,7326144.0,1.6919434727392524e-06,5M-10M
HOOD251003C00136000,136.0,5.64,5.15,5.35,1628.0,12920.0,0.6342810009765626,True,CALL,2025-10-03,HOOD,188.0,4.25,12732.0,0.3270588235294117,0.01568903052449743,107467070071.0,多头买 Call，看涨,1.5689030524497432,32.70588235294117,12732.0,7180848.0,6.681905438806369e-05,5M-10M
MSTR251121C00330000,330.0,25.25,25.0,25.35,112.0,59607.0,0.6355627264404298,False,CALL,2025-11-21,MSTR,62442.0,29.2,-2835.0,-0.1352739726027397,-0.027816974193752862,87634873800.0,多头平仓 Call，减仓，看涨减弱,-2.7816974193752864,-13.527397260273972,-2835.0,7158375.0,8.168409092865036e-05,5M-10M
CRWV251121P00130000,130.0,14.1,14.0,14.3,1757.0,7796.0,0.8726819372558592,False,PUT,2025-11-21,CRWV,2936.0,21.85,4860.0,-0.3546910755148742,0.12246978178698084,58794801172.0,空头卖 Put，看涨/看不跌,12.246978178698084,-35.469107551487426,4860.0,6852600.0,0.00011655112124545174,5M-10M
HOOD251003C00127000,127.0,13.2,12.15,12.45,1397.0,4386.0,0.6640658593750002,True,CALL,2025-10-03,HOOD,9475.0,10.64,-5089.0,0.24060150375939837,0.01568903052449743,107467070071.0,空头平仓 Call，回补信号，看涨,1.5689030524497432,24.060150375939838,-5089.0,6717480.0,6.250733360053437e-05,5M-10M
CRWV251003C00115000,115.0,26.64,23.45,24.55,2617.0,3054.0,1.5820333398437496,True,CALL,2025-10-03,CRWV,577.0,9.75,2477.0,1.7323076923076923,0.12246978178698084,58794801172.0,多头买 Call，看涨,12.246978178698084,173.23076923076923,2477.0,6598728.0,0.00011223318845310645,5M-10M
MU260320P00150000,150.0,13.0,13.55,13.75,14.0,5841.0,0.4823049816894531,False,PUT,2026-03-20,MU,837.0,13.72,5004.0,-0.052478134110787215,0.012385593989582316,176004804634.0,空头卖 Put，看涨/看不跌,1.2385593989582315,-5.247813411078721,5004.0,6505200.0,3.696035465354193e-05,5M-10M
HOOD251003C00125000,125.0,15.05,14.5,14.7,440.0,4051.0,0.86914193359375,True,CALL,2025-10-03,HOOD,8358.0,12.3,-4307.0,0.22357723577235772,0.01568903052449743,107467070071.0,空头平仓 Call，回补信号，看涨,1.5689030524497432,22.35772357723577,-4307.0,6482035.000000001,6.031647643987624e-05,5M-10M
HOOD251003C00135000,135.0,6.1,5.75,5.9,5488.0,21083.0,0.6235389208984375,True,CALL,2025-10-03,HOOD,11716.0,4.82,9367.0,0.26556016597510357,0.01568903052449743,107467070071.0,多头买 Call，看涨,1.5689030524497432,26.556016597510357,9367.0,5713870.0,5.316856592652086e-05,5M-10M
CRWV251219C00130000,130.0,26.44,26.65,27.55,770.0,4409.0,0.9270026831054688,True,CALL,2025-12-19,CRWV,2284.0,18.5,2125.0,0.42918918918918925,0.12246978178698084,58794801172.0,多头买 Call，看涨,12.246978178698084,42.918918918918926,2125.0,5618500.0,9.556117017155103e-05,5M-10M
LYFT251219C00024000,24.0,1.97,1.89,1.93,504.0,28882.0,0.6601596484375001,False,CALL,2025-12-19,LYFT,608.0,2.41,28274.0,-0.1825726141078839,-0.04470124748750699,8888875736.0,空头卖 Call，看跌/看不涨,-4.470124748750699,-18.257261410788388,28274.0,5569978.0,0.0006266234522147222,5M-10M
CRWV251003C00130000,130.0,10.05,9.95,10.55,7600.0,11666.0,1.0253954980468751,True,CALL,2025-10-03,CRWV,6265.0,1.8,5401.0,4.583333333333333,0.12246978178698084,58794801172.0,多头买 Call，看涨,12.246978178698084,458.3333333333333,5401.0,5428005.0,9.232117282139893e-05,5M-10M
NVDA251031C00180000,180.0,11.85,11.75,11.85,4933.0,12074.0,0.3748841809082031,True,CALL,2025-10-31,NVDA,7589.0,9.1,4485.0,0.30219780219780223,0.02631283058960429,4330017000000.0,多头买 Call，看涨,2.6312830589604292,30.219780219780223,4485.0,5314725.0,1.227414349643431e-06,5M-10M
MSTR251121P00320000,320.0,27.7,28.8,29.25,20.0,1681.0,0.5704999005126954,True,PUT,2025-11-21,MSTR,3584.0,26.22,-1903.0,0.05644546147978644,-0.027816974193752862,87634873800.0,空头平仓 Put，回补，看跌信号减弱,-2.7816974193752864,5.6445461479786445,-1903.0,5271310.0,6.015082548107692e-05,5M-10M
