contractSymbol,strike,lastPrice_new,bid,ask,volume_new,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,signal_type,stock_price_change_pct,option_price_change_pct,volume_change_abs,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier
CRWV251003C00150000,150.0,1.23,1.4,1.47,28904.0,6641.0,0.9331061376953124,False,CALL,2025-10-03,CRWV,0.0,0.14,28904.0,100.0,7.785714285714284,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,778.5714285714283,28904.0,3555192.0,0.0060467795266447785,6641.0,<=5M
HOOD251003C00145000,145.0,1.5,1.49,1.52,23500.0,4220.0,0.6435582519531251,False,CALL,2025-10-03,HOOD,0.0,1.31,23500.0,100.0,0.14503816793893126,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,14.503816793893126,23500.0,3525000.0,0.00328007453601475,4220.0,<=5M
RKT251121C00021000,21.0,1.48,1.48,1.49,23751.0,40172.0,0.743166630859375,False,CALL,2025-11-21,RKT,0.0,2.01,23751.0,100.0,-0.2636815920398009,-0.04543192829732685,41059176245.0,卖Call，看跌,-4.543192829732685,-26.368159203980092,23751.0,3515148.0000000005,0.008561175165875519,40172.0,<=5M
HOOD251017C00140000,140.0,7.33,7.3,7.4,4614.0,11733.0,0.6409948010253907,False,CALL,2025-10-17,HOOD,0.0,6.21,4614.0,100.0,0.18035426731078907,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,18.035426731078907,4614.0,3382062.0000000005,0.0031470682114675516,11733.0,<=5M
IREN251003C00039000,39.0,8.15,7.4,7.8,4110.0,589.0,1.109379453125,True,CALL,2025-10-03,IREN,0.0,7.2,4110.0,100.0,0.13194444444444448,0.01589374128861187,11385103479.0,买Call，看涨,1.589374128861187,13.194444444444448,4110.0,3349650.0,0.029421339965670767,589.0,<=5M
HOOD251003C00135000,135.0,6.1,5.75,5.9,5488.0,21083.0,0.6235389208984375,True,CALL,2025-10-03,HOOD,0.0,4.82,5488.0,100.0,0.26556016597510357,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,26.556016597510357,5488.0,3347679.9999999995,0.003115075155383222,21083.0,<=5M
CORZ251017C00013000,13.0,5.3,4.95,5.05,6066.0,7256.0,0.960937890625,True,CALL,2025-10-17,CORZ,0.0,4.25,6066.0,100.0,0.24705882352941172,0.032602454503461456,5146132248.0,买Call，看涨,3.2602454503461455,24.70588235294117,6066.0,3214980.0,0.06247371511389888,7256.0,<=5M
BA260220C00255000,255.0,6.49,6.3,6.4,4902.0,228.0,0.3560245062255859,False,CALL,2026-02-20,BA,0.0,7.2,4902.0,100.0,-0.09861111111111111,-0.014879287360854533,167307451596.0,卖Call，看跌,-1.4879287360854534,-9.86111111111111,4902.0,3181398.0,0.0019015279771771153,228.0,<=5M
CORZ271217C00022000,22.0,6.9,6.4,9.45,4540.0,815.0,0.8957529956054686,False,CALL,2027-12-17,CORZ,0.0,6.45,4540.0,100.0,0.06976744186046514,0.032602454503461456,5146132248.0,买Call，看涨,3.2602454503461455,6.976744186046514,4540.0,3132600.0,0.060872901220474035,815.0,<=5M
INTC260116C00035000,35.0,3.68,3.6,3.7,8493.0,101824.0,0.594730615234375,False,CALL,2026-01-16,INTC,0.0,4.56,8493.0,100.0,-0.19298245614035078,-0.03189963186179467,155383500000.0,卖Call，看跌,-3.1899631861794666,-19.29824561403508,8493.0,3125424.0,0.002011425923601927,101824.0,<=5M
HOOD251003P00140000,140.0,4.0,3.95,4.1,7616.0,866.0,0.5888712988281251,True,PUT,2025-10-03,HOOD,0.0,5.81,7616.0,100.0,-0.31153184165232356,0.01568903052449743,107467070071.0,卖Put，看涨,1.5689030524497432,-31.153184165232357,7616.0,3046400.0,0.00283472881319584,866.0,<=5M
CRWV251003C00138000,138.0,5.2,4.9,5.15,5789.0,972.0,0.9150399121093752,False,CALL,2025-10-03,CRWV,0.0,0.56,5789.0,100.0,8.285714285714286,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,828.5714285714287,5789.0,3010280.0,0.005119976494509507,972.0,<=5M
INTC260116C00040000,40.0,2.38,2.33,2.36,12337.0,101519.0,0.6259803027343751,False,CALL,2026-01-16,INTC,0.0,3.04,12337.0,100.0,-0.21710526315789477,-0.03189963186179467,155383500000.0,卖Call，看跌,-3.1899631861794666,-21.710526315789476,12337.0,2936206.0,0.0018896510890795998,101519.0,<=5M
HOOD251003C00142000,142.0,2.37,2.3,2.35,12166.0,1667.0,0.6279334082031252,False,CALL,2025-10-03,HOOD,0.0,1.91,12166.0,100.0,0.24083769633507865,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,24.083769633507863,12166.0,2883342.0,0.002683000474559388,1667.0,<=5M
HOOD251003C00141000,141.0,2.76,2.7,2.76,10335.0,12333.0,0.6333044482421876,False,CALL,2025-10-03,HOOD,0.0,2.21,10335.0,100.0,0.2488687782805429,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,24.886877828054292,10335.0,2852460.0,0.0026542642300711023,12333.0,<=5M
BA251010P00215000,215.0,5.47,5.5,5.65,5090.0,839.0,0.3404606970214844,True,PUT,2025-10-10,BA,0.0,3.85,5090.0,100.0,0.4207792207792207,-0.014879287360854533,167307451596.0,买Put，看跌,-1.4879287360854534,42.07792207792207,5090.0,2784230.0,0.0016641398655232197,839.0,<=5M
CRWV251017C00145000,145.0,7.17,7.05,7.5,3695.0,17662.0,0.8481460498046874,False,CALL,2025-10-17,CRWV,0.0,2.67,3695.0,100.0,1.6853932584269664,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,168.53932584269666,3695.0,2649315.0,0.004506036158281441,17662.0,<=5M
CRWV251010C00140000,140.0,7.2,6.95,7.15,3609.0,2029.0,0.8569350244140624,False,CALL,2025-10-10,CRWV,0.0,2.14,3609.0,100.0,2.364485981308411,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,236.4485981308411,3609.0,2598480.0,0.004419574432097035,2029.0,<=5M
CRWV251003P00140000,140.0,5.11,5.1,5.35,5040.0,110.0,0.6655306884765627,True,PUT,2025-10-03,CRWV,0.0,17.58,5040.0,100.0,-0.7093287827076223,0.12246978178698084,58794801172.0,卖Put，看涨,12.246978178698084,-70.93287827076223,5040.0,2575440.0,0.004380387293879495,110.0,<=5M
BMNR251121C00065000,65.0,6.0,6.05,6.25,4209.0,48405.0,1.3647492700195314,False,CALL,2025-11-21,BMNR,0.0,7.24,4209.0,100.0,-0.17127071823204423,-0.02901448793823384,217319983.0,卖Call，看跌,-2.901448793823384,-17.127071823204425,4209.0,2525400.0,1.1620652482749365,48405.0,<=5M
BA260220P00180000,180.0,4.95,4.9,5.0,5086.0,329.0,0.3411931115722656,False,PUT,2026-02-20,BA,0.0,4.6,5086.0,100.0,0.07608695652173925,-0.014879287360854533,167307451596.0,买Put，看跌,-1.4879287360854534,7.608695652173925,5086.0,2517570.0,0.0015047566477070112,329.0,<=5M
CRWV251003C00141000,141.0,3.79,3.65,3.85,6517.0,864.0,0.9135750830078124,False,CALL,2025-10-03,CRWV,0.0,0.47,6517.0,100.0,7.063829787234043,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,706.3829787234043,6517.0,2469943.0,0.004200954762606234,864.0,<=5M
CRWV251003P00135000,135.0,3.0,2.78,3.05,8233.0,1820.0,0.711916943359375,False,PUT,2025-10-03,CRWV,0.0,12.92,8233.0,100.0,-0.7678018575851393,0.12246978178698084,58794801172.0,卖Put，看涨,12.246978178698084,-76.78018575851394,8233.0,2469900.0,0.004200881626888206,1820.0,<=5M
CRWV251003C00139000,139.0,4.71,4.35,4.75,5190.0,338.0,0.911133701171875,False,CALL,2025-10-03,CRWV,0.0,0.46,5190.0,100.0,9.239130434782608,0.12246978178698084,58794801172.0,买Call，看涨,12.246978178698084,923.9130434782608,5190.0,2444490.0,0.004157663520025893,338.0,<=5M
U251003C00042000,42.0,0.63,0.63,0.65,35092.0,393.0,0.7578149218750001,False,CALL,2025-10-03,U,0.0,1.88,35092.0,100.0,-0.6648936170212766,-0.06031672648859593,18066864891.0,卖Call，看跌,-6.031672648859593,-66.48936170212765,35092.0,2210796.0,0.012236743969349696,393.0,<=5M
HOOD251017C00150000,150.0,3.8,3.6,3.65,5742.0,8659.0,0.6254920263671876,False,CALL,2025-10-17,HOOD,0.0,3.1,5742.0,100.0,0.22580645161290314,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,22.580645161290313,5742.0,2181960.0,0.0020303521800291474,8659.0,<=5M
HOOD251010C00140000,140.0,5.8,5.5,5.65,3740.0,4104.0,0.6355016918945313,False,CALL,2025-10-10,HOOD,0.0,4.46,3740.0,100.0,0.3004484304932735,0.01568903052449743,107467070071.0,买Call，看涨,1.5689030524497432,30.04484304932735,3740.0,2169200.0,0.0020184787754675736,4104.0,<=5M
MU251003C00165000,165.0,3.69,3.75,3.85,5555.0,10012.0,0.4890187817382813,True,CALL,2025-10-03,MU,0.0,2.96,5555.0,100.0,0.24662162162162163,0.012385593989582316,176004804634.0,买Call，看涨,1.2385593989582315,24.66216216216216,5555.0,2049795.0,0.0011646244568507807,10012.0,<=5M
