contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,liquidity_score,symbol
AA251003P00041000,41.0,8.65,7.25,9.4,,3,2.02344244140625,True,PUT,2025-10-03,3.0,AA
AA251003P00042000,42.0,9.95,8.25,10.4,,0,2.160160849609375,True,PUT,2025-10-03,0.0,AA
AA251010C00025000,25.0,6.65,8.7,8.85,3.0,6,0.9882813671875,True,CALL,2025-10-10,9.0,AA
AA251010C00026000,26.0,6.52,7.7,7.85,6.0,6,0.8808605664062499,True,CALL,2025-10-10,12.0,AA
AA251010C00027000,27.0,6.31,6.7,6.85,2.0,40,0.773439765625,True,CALL,2025-10-10,42.0,AA
AA251010C00028000,28.0,5.75,5.7,5.85,1.0,9,0.6699251757812501,True,CALL,2025-10-10,10.0,AA
AA251010C00028500,28.5,3.4,5.0,5.4,,16,0.75586181640625,True,CALL,2025-10-10,16.0,AA
AA251010C00029000,29.0,4.77,4.75,4.95,1.0,6,0.65039412109375,True,CALL,2025-10-10,7.0,AA
AA251010C00029500,29.5,2.56,4.3,4.45,,10,0.6171913281250001,True,CALL,2025-10-10,10.0,AA
AA251010C00030000,30.0,2.76,3.85,4.0,91.0,68,0.5996133789062501,True,CALL,2025-10-10,159.0,AA
AA251010C00030500,30.5,3.23,3.4,3.55,3.0,10,0.5742230078125,True,CALL,2025-10-10,13.0,AA
AA251010C00031000,31.0,3.01,3.0,3.15,2.0,84,0.5722699023437501,True,CALL,2025-10-10,86.0,AA
AA251010C00031500,31.5,2.27,2.57,2.72,1.0,128,0.5419967675781252,True,CALL,2025-10-10,129.0,AA
AA251010C00032000,32.0,2.22,2.24,2.37,10.0,230,0.5488326367187502,True,CALL,2025-10-10,240.0,AA
AA251010C00032500,32.5,1.86,1.95,2.02,119.0,1044,0.5507857421875001,True,CALL,2025-10-10,1163.0,AA
AA251010C00033000,33.0,1.64,1.65,1.73,117.0,257,0.5507857421875001,True,CALL,2025-10-10,374.0,AA
AA251010C00033500,33.5,1.35,1.4,1.52,36.0,164,0.5654340332031251,True,CALL,2025-10-10,200.0,AA
AA251010C00034000,34.0,1.1,1.13,1.2,198.0,414,0.5410202148437502,False,CALL,2025-10-10,612.0,AA
AA251010C00034500,34.5,0.94,0.94,1.05,15.0,87,0.5556685058593751,False,CALL,2025-10-10,102.0,AA
AA251010C00035000,35.0,0.77,0.76,0.81,41.0,331,0.5429733203125001,False,CALL,2025-10-10,372.0,AA
AA251010C00035500,35.5,0.62,0.6,0.65,172.0,75,0.5390671093750001,False,CALL,2025-10-10,247.0,AA
AA251010C00036000,36.0,0.44,0.48,0.51,51.0,8017,0.5371140039062501,False,CALL,2025-10-10,8068.0,AA
AA251010C00036500,36.5,0.37,0.37,0.41,8.0,55,0.5371140039062501,False,CALL,2025-10-10,63.0,AA
AA251010C00037000,37.0,0.25,0.28,0.32,10.0,55,0.5351608984375,False,CALL,2025-10-10,65.0,AA
AA251010C00038000,38.0,0.16,0.16,0.19,30.0,59,0.53320779296875,False,CALL,2025-10-10,89.0,AA
AA251010C00039000,39.0,0.09,0.08,0.11,25.0,30,0.5293015820312501,False,CALL,2025-10-10,55.0,AA
AA251010C00040000,40.0,0.08,0.0,0.09,2.0,18,0.5195360546875,False,CALL,2025-10-10,20.0,AA
AA251010C00041000,41.0,0.05,0.01,0.31,14.0,61,0.74414318359375,False,CALL,2025-10-10,75.0,AA
AA251010P00024000,24.0,0.03,0.0,1.0,1.0,24,1.607423837890625,False,PUT,2025-10-10,25.0,AA
AA251010P00025000,25.0,0.15,0.0,0.3,2.0,132,1.0664109179687502,False,PUT,2025-10-10,134.0,AA
AA251010P00026000,26.0,0.06,0.0,0.09,18.0,194,0.7500025,False,PUT,2025-10-10,212.0,AA
AA251010P00027000,27.0,0.05,0.0,0.3,1.0,278,0.8398453515625,False,PUT,2025-10-10,279.0,AA
AA251010P00027500,27.5,0.1,0.0,0.55,1.0,16,0.9179695703125,False,PUT,2025-10-10,17.0,AA
AA251010P00028000,28.0,0.05,0.05,0.06,5.0,156,0.585941640625,False,PUT,2025-10-10,161.0,AA
AA251010P00028500,28.5,0.07,0.03,0.29,16.0,91,0.68555001953125,False,PUT,2025-10-10,107.0,AA
AA251010P00029000,29.0,0.09,0.08,0.09,71.0,152,0.5410202148437502,False,PUT,2025-10-10,223.0,AA
AA251010P00029500,29.5,0.15,0.1,0.14,2.0,71,0.53320779296875,False,PUT,2025-10-10,73.0,AA
AA251010P00030000,30.0,0.18,0.15,0.2,24.0,257,0.53320779296875,False,PUT,2025-10-10,281.0,AA
AA251010P00030500,30.5,0.24,0.21,0.26,101.0,1015,0.524418818359375,False,PUT,2025-10-10,1116.0,AA
AA251010P00031000,31.0,0.32,0.29,0.34,175.0,2133,0.51758294921875,False,PUT,2025-10-10,2308.0,AA
AA251010P00031500,31.5,0.48,0.39,0.45,16.0,123,0.5127001855468749,False,PUT,2025-10-10,139.0,AA
AA251010P00032000,32.0,0.61,0.52,0.58,10.0,85,0.507817421875,False,PUT,2025-10-10,95.0,AA
AA251010P00032500,32.5,0.8,0.7,0.76,253.0,26,0.5127001855468749,False,PUT,2025-10-10,279.0,AA
AA251010P00033000,33.0,1.05,0.91,0.95,124.0,48,0.5127001855468749,False,PUT,2025-10-10,172.0,AA
AA251010P00033500,33.5,1.23,1.13,1.18,31.0,45,0.5097705273437501,False,PUT,2025-10-10,76.0,AA
AA251010P00034000,34.0,1.51,1.39,1.45,10.0,24,0.5097705273437501,True,PUT,2025-10-10,34.0,AA
AA251010P00034500,34.5,1.84,1.68,1.75,2.0,6,0.5097705273437501,True,PUT,2025-10-10,8.0,AA
AA251010P00035000,35.0,2.43,1.99,2.07,11.0,70,0.5053760400390624,True,PUT,2025-10-10,81.0,AA
AA251010P00036000,36.0,4.1,2.69,2.78,7.0,7,0.514653291015625,True,PUT,2025-10-10,14.0,AA
AA251010P00037000,37.0,5.55,3.5,3.75,,4,0.5312546875,True,PUT,2025-10-10,4.0,AA
AA251010P00038000,38.0,6.1,4.35,4.7,2.0,2,0.5507857421875001,True,PUT,2025-10-10,4.0,AA
AA251010P00040000,40.0,6.85,6.3,6.4,2.0,1,0.5625043750000001,True,PUT,2025-10-10,3.0,AA
AA251010P00042000,42.0,9.85,8.25,8.4,5.0,5,0.6835969140625001,True,PUT,2025-10-10,10.0,AA
AA251010P00043000,43.0,10.65,9.2,9.35,,1,0.6093789062500001,True,PUT,2025-10-10,1.0,AA
AA251017C00024000,24.0,8.55,9.7,9.85,1.0,2,0.87500125,True,CALL,2025-10-17,3.0,AA
AA251017C00025000,25.0,8.64,8.75,8.85,20.0,849,0.82226740234375,True,CALL,2025-10-17,869.0,AA
AA251017C00028000,28.0,4.0,5.8,5.95,,39,0.6269568554687501,True,CALL,2025-10-17,39.0,AA
AA251017C00028500,28.5,4.6,5.35,5.5,1.0,16,0.6191444335937502,True,CALL,2025-10-17,17.0,AA
AA251017C00029000,29.0,4.8,4.9,5.0,32.0,32,0.58789474609375,True,CALL,2025-10-17,64.0,AA
AA251017C00029500,29.5,4.05,4.45,4.6,6.0,10,0.5839885351562499,True,CALL,2025-10-17,16.0,AA
AA251017C00030000,30.0,4.0,4.05,4.15,210.0,4100,0.5732464550781251,True,CALL,2025-10-17,4310.0,AA
AA251017C00031000,31.0,3.31,3.25,3.35,60.0,179,0.5537154003906251,True,CALL,2025-10-17,239.0,AA
AA251017C00031500,31.5,2.77,2.9,2.98,35.0,647,0.5502974658203126,True,CALL,2025-10-17,682.0,AA
AA251017C00032000,32.0,2.46,2.55,2.73,27.0,319,0.56055126953125,True,CALL,2025-10-17,346.0,AA
AA251017C00032500,32.5,2.2,2.09,2.32,21.0,379,0.5151415673828125,True,CALL,2025-10-17,400.0,AA
AA251017C00033000,33.0,1.98,1.97,2.05,462.0,1623,0.5454147021484376,True,CALL,2025-10-17,2085.0,AA
AA251017C00033500,33.5,1.64,1.69,1.78,146.0,103,0.5395553857421876,True,CALL,2025-10-17,249.0,AA
AA251017C00034000,34.0,1.4,1.45,1.53,13.0,182,0.5361374511718751,False,CALL,2025-10-17,195.0,AA
AA251017C00034500,34.5,1.17,1.22,1.31,43.0,1062,0.5312546875,False,CALL,2025-10-17,1105.0,AA
AA251017C00035000,35.0,1.07,1.05,1.1,498.0,12609,0.5302781347656251,False,CALL,2025-10-17,13107.0,AA
AA251017C00035500,35.5,0.85,0.88,0.95,27.0,54,0.532231240234375,False,CALL,2025-10-17,81.0,AA
AA251017C00036000,36.0,0.72,0.73,0.8,23.0,578,0.5302781347656251,False,CALL,2025-10-17,601.0,AA
AA251017C00036500,36.5,0.59,0.6,0.67,13.0,67,0.5283250292968751,False,CALL,2025-10-17,80.0,AA
AA251017C00037000,37.0,0.5,0.49,0.53,1754.0,60,0.5214891601562499,False,CALL,2025-10-17,1814.0,AA
AA251017C00038000,38.0,0.34,0.32,0.36,1125.0,55,0.5195360546875,False,CALL,2025-10-17,1180.0,AA
AA251017C00039000,39.0,0.21,0.21,0.24,275.0,4,0.5214891601562499,False,CALL,2025-10-17,279.0,AA
AA251017C00040000,40.0,0.13,0.12,0.16,66.0,4643,0.51758294921875,False,CALL,2025-10-17,4709.0,AA
AA251017C00041000,41.0,0.09,0.07,0.1,51.0,2,0.51562984375,False,CALL,2025-10-17,53.0,AA
AA251017C00042000,42.0,0.05,0.0,0.58,,2,0.745119736328125,False,CALL,2025-10-17,2.0,AA
AA251017P00025000,25.0,0.04,0.03,0.14,7.0,6622,0.7539087109375,False,PUT,2025-10-17,6629.0,AA
AA251017P00026000,26.0,0.05,0.0,0.1,1.0,31,0.6093789062500001,False,PUT,2025-10-17,32.0,AA
AA251017P00027000,27.0,0.08,0.0,0.11,4.0,49,0.5429733203125001,False,PUT,2025-10-17,53.0,AA
AA251017P00027500,27.5,0.1,0.07,0.11,10.0,52,0.5546919531250001,False,PUT,2025-10-17,62.0,AA
AA251017P00028000,28.0,0.12,0.1,0.13,16.0,290,0.5429733203125001,False,PUT,2025-10-17,306.0,AA
AA251017P00028500,28.5,0.15,0.0,0.16,2.0,112,0.5449264257812501,False,PUT,2025-10-17,114.0,AA
AA251017P00029000,29.0,0.2,0.17,0.21,3.0,75,0.52539537109375,False,PUT,2025-10-17,78.0,AA
AA251017P00029500,29.5,0.27,0.23,0.26,11.0,95,0.51758294921875,False,PUT,2025-10-17,106.0,AA
AA251017P00030000,30.0,0.34,0.3,0.33,39.0,8013,0.5117236328125,False,PUT,2025-10-17,8052.0,AA
AA251017P00030500,30.5,0.46,0.38,0.42,14.0,260,0.5048877636718749,False,PUT,2025-10-17,274.0,AA
AA251017P00031000,31.0,0.54,0.49,0.54,9.0,378,0.5048877636718749,False,PUT,2025-10-17,387.0,AA
AA251017P00031500,31.5,0.65,0.63,0.68,2.0,500,0.5048877636718749,False,PUT,2025-10-17,502.0,AA
AA251017P00032000,32.0,0.91,0.78,0.86,89.0,181,0.50586431640625,False,PUT,2025-10-17,270.0,AA
AA251017P00032500,32.5,1.1,0.96,1.04,6.0,54,0.5029346582031251,False,PUT,2025-10-17,60.0,AA
AA251017P00033000,33.0,1.46,1.17,1.25,25.0,22,0.5019581054687501,False,PUT,2025-10-17,47.0,AA
AA251017P00033500,33.5,1.52,1.41,1.62,27.0,3,0.523442265625,False,PUT,2025-10-17,30.0,AA
AA251017P00034000,34.0,1.82,1.63,1.75,6.0,19,0.5131884619140624,True,PUT,2025-10-17,25.0,AA
AA251017P00034500,34.5,3.75,1.94,2.04,,1,0.5131884619140624,True,PUT,2025-10-17,1.0,AA
AA251017P00035000,35.0,2.4,2.26,2.37,15.0,310,0.500005,True,PUT,2025-10-17,325.0,AA
AA251017P00037000,37.0,5.7,3.7,3.8,,27,0.5039112109375,True,PUT,2025-10-17,27.0,AA
AA251017P00040000,40.0,8.75,6.35,6.45,13.0,41,0.500005,True,PUT,2025-10-17,54.0,AA
AA251017P00041000,41.0,9.25,7.25,7.4,,4,0.49609878906250005,True,PUT,2025-10-17,4.0,AA
AA251024C00025000,25.0,7.05,8.8,8.95,4.0,10,0.77929908203125,True,CALL,2025-10-24,14.0,AA
AA251024C00026000,26.0,6.1,7.8,8.25,,10,0.80664255859375,True,CALL,2025-10-24,10.0,AA
AA251024C00027000,27.0,5.24,6.85,7.0,,10,0.6523472265625001,True,CALL,2025-10-24,10.0,AA
AA251024C00028000,28.0,6.34,5.75,6.15,2.0,13,0.585941640625,True,CALL,2025-10-24,15.0,AA
AA251024C00029000,29.0,4.11,5.1,5.25,20.0,20,0.6152382226562501,True,CALL,2025-10-24,40.0,AA
AA251024C00030000,30.0,3.35,4.3,4.45,35.0,58,0.6015664843750002,True,CALL,2025-10-24,93.0,AA
AA251024C00031000,31.0,2.85,3.55,3.7,21.0,88,0.585941640625,True,CALL,2025-10-24,109.0,AA
AA251024C00032000,32.0,2.43,2.93,3.05,20.0,134,0.5864299169921875,True,CALL,2025-10-24,154.0,AA
AA251024C00033000,33.0,2.28,2.33,2.42,27.0,2631,0.570316796875,True,CALL,2025-10-24,2658.0,AA
AA251024C00034000,34.0,1.86,1.83,1.93,11.0,91,0.5668988623046876,False,CALL,2025-10-24,102.0,AA
AA251024C00035000,35.0,1.4,1.42,1.48,50.0,2632,0.56055126953125,False,CALL,2025-10-24,2682.0,AA
AA251024C00036000,36.0,1.06,1.09,1.15,32.0,126,0.561527822265625,False,CALL,2025-10-24,158.0,AA
AA251024C00037000,37.0,0.78,0.8,0.86,3.0,22,0.5551802294921876,False,CALL,2025-10-24,25.0,AA
AA251024C00038000,38.0,0.58,0.59,0.64,10.0,47,0.5542036767578126,False,CALL,2025-10-24,57.0,AA
AA251024C00039000,39.0,0.35,0.43,0.46,11.0,2,0.551762294921875,False,CALL,2025-10-24,13.0,AA
AA251024C00040000,40.0,0.24,0.3,0.33,2.0,41,0.5478560839843751,False,CALL,2025-10-24,43.0,AA
AA251024C00041000,41.0,0.32,0.0,0.25,1.0,32,0.5644574804687501,False,CALL,2025-10-24,33.0,AA
AA251024P00024000,24.0,0.12,0.0,2.17,21.0,66,1.4209013330078126,False,PUT,2025-10-24,87.0,AA
AA251024P00025000,25.0,0.13,0.0,2.19,,26,1.3066440917968747,False,PUT,2025-10-24,26.0,AA
AA251024P00026000,26.0,0.08,0.04,0.14,1.0,36,0.5800823242187501,False,PUT,2025-10-24,37.0,AA
AA251024P00027000,27.0,0.34,0.0,0.18,1.0,21,0.5097705273437501,False,PUT,2025-10-24,22.0,AA
AA251024P00028000,28.0,0.36,0.22,0.26,2.0,169,0.56055126953125,False,PUT,2025-10-24,171.0,AA
AA251024P00029000,29.0,0.98,0.34,0.41,4.0,77,0.55273884765625,False,PUT,2025-10-24,81.0,AA
AA251024P00030000,30.0,0.55,0.53,0.58,18.0,146,0.5424850439453126,False,PUT,2025-10-24,164.0,AA
AA251024P00031000,31.0,0.82,0.78,0.84,35.0,62,0.5371140039062501,False,PUT,2025-10-24,97.0,AA
AA251024P00032000,32.0,1.36,1.12,1.18,4.0,54,0.5346726220703125,False,PUT,2025-10-24,58.0,AA
AA251024P00033000,33.0,1.66,1.53,1.6,2.0,37,0.5302781347656251,False,PUT,2025-10-24,39.0,AA
AA251024P00034000,34.0,2.28,2.02,2.11,1.0,4,0.526371923828125,True,PUT,2025-10-24,5.0,AA
AA251024P00036000,36.0,3.65,3.25,3.35,8.0,2,0.516606396484375,True,PUT,2025-10-24,10.0,AA
AA251024P00037000,37.0,5.5,3.95,4.1,1.0,4,0.5107470800781251,True,PUT,2025-10-24,5.0,AA
AA251024P00041000,41.0,7.25,7.35,7.55,,1,0.5459029785156251,True,PUT,2025-10-24,1.0,AA
AA251031C00026000,26.0,7.8,7.85,8.0,30.0,6,0.6533237792968751,True,CALL,2025-10-31,36.0,AA
AA251031C00027000,27.0,6.84,6.9,7.1,,5,0.62305064453125,True,CALL,2025-10-31,5.0,AA
AA251031C00028000,28.0,6.15,6.05,6.2,5.0,6,0.6064492480468751,True,CALL,2025-10-31,11.0,AA
AA251031C00029000,29.0,4.11,5.0,5.45,2.0,8,0.5654340332031251,True,CALL,2025-10-31,10.0,AA
AA251031C00030000,30.0,3.3,4.45,4.6,6.0,36,0.5839885351562499,True,CALL,2025-10-31,42.0,AA
AA251031C00031000,31.0,3.7,3.75,3.85,12.0,56,0.5717816259765626,True,CALL,2025-10-31,68.0,AA
AA251031C00032000,32.0,3.0,3.05,3.25,17.0,93,0.5634809277343751,True,CALL,2025-10-31,110.0,AA
AA251031C00033000,33.0,2.55,2.53,2.66,6.0,32,0.5620160986328125,True,CALL,2025-10-31,38.0,AA
AA251031C00034000,34.0,1.97,1.99,2.15,11.0,53,0.5502974658203126,False,CALL,2025-10-31,64.0,AA
AA251031C00035000,35.0,1.59,1.62,1.74,1.0,70,0.5551802294921876,False,CALL,2025-10-31,71.0,AA
AA251031C00036000,36.0,0.92,1.19,1.36,2.0,10,0.5395553857421876,False,CALL,2025-10-31,12.0,AA
AA251031C00037000,37.0,0.96,0.97,1.08,1.0,19,0.5483443603515626,False,CALL,2025-10-31,20.0,AA
AA251031C00038000,38.0,0.59,0.73,0.83,20.0,21,0.543949873046875,False,CALL,2025-10-31,41.0,AA
AA251031C00039000,39.0,0.43,0.57,0.81,4.0,3,0.5756878369140624,False,CALL,2025-10-31,7.0,AA
AA251031C00040000,40.0,0.45,0.43,0.47,2.0,35,0.543949873046875,False,CALL,2025-10-31,37.0,AA
AA251031C00041000,41.0,0.52,0.3,0.39,,6,0.5478560839843751,False,CALL,2025-10-31,6.0,AA
AA251031C00042000,42.0,0.16,0.0,0.3,,30,0.570316796875,False,CALL,2025-10-31,30.0,AA
AA251031P00024000,24.0,0.16,0.0,2.2,,1,1.2675817871093749,False,PUT,2025-10-31,1.0,AA
AA251031P00025000,25.0,0.1,0.0,0.14,101.0,84,0.55273884765625,False,PUT,2025-10-31,185.0,AA
AA251031P00026000,26.0,0.15,0.15,0.17,2.0,23,0.5820354296875,False,PUT,2025-10-31,25.0,AA
AA251031P00027000,27.0,0.23,0.0,0.25,7.0,26,0.57617611328125,False,PUT,2025-10-31,33.0,AA
AA251031P00028000,28.0,0.37,0.32,0.36,6.0,32,0.551762294921875,False,PUT,2025-10-31,38.0,AA
AA251031P00029000,29.0,0.56,0.47,0.55,2.0,44,0.5478560839843751,False,PUT,2025-10-31,46.0,AA
AA251031P00030000,30.0,0.74,0.52,0.76,12.0,47,0.5117236328125,False,PUT,2025-10-31,59.0,AA
AA251031P00031000,31.0,1.08,0.92,1.05,3.0,93,0.5293015820312501,False,PUT,2025-10-31,96.0,AA
AA251031P00032000,32.0,1.5,1.32,1.62,1.0,16,0.56055126953125,False,PUT,2025-10-31,17.0,AA
AA251031P00033000,33.0,2.53,1.75,1.88,10.0,24,0.534184345703125,False,PUT,2025-10-31,34.0,AA
AA251031P00034000,34.0,2.6,2.27,2.38,3.0,200,0.5317429638671876,True,PUT,2025-10-31,203.0,AA
AA251031P00035000,35.0,3.04,2.86,2.95,2.0,29,0.5288133056640626,True,PUT,2025-10-31,31.0,AA
AA251031P00036000,36.0,4.35,3.5,3.6,4.0,4,0.5249070947265625,True,PUT,2025-10-31,8.0,AA
AA251031P00039000,39.0,6.25,5.65,5.95,,3,0.55273884765625,True,PUT,2025-10-31,3.0,AA
AA251107C00031000,31.0,2.79,3.85,4.05,,6,0.5585981640625001,True,CALL,2025-11-07,6.0,AA
AA251107C00032000,32.0,3.25,3.25,3.35,3.0,6,0.5478560839843751,True,CALL,2025-11-07,9.0,AA
AA251107C00033000,33.0,2.51,2.71,2.81,3.0,3,0.5483443603515626,True,CALL,2025-11-07,6.0,AA
AA251107C00034000,34.0,2.18,2.24,2.32,25.0,2,0.5468795312500001,False,CALL,2025-11-07,27.0,AA
AA251107C00035000,35.0,1.74,1.79,1.88,3.0,4,0.5395553857421876,False,CALL,2025-11-07,7.0,AA
AA251107C00036000,36.0,1.3,1.42,1.51,3.0,1,0.5346726220703125,False,CALL,2025-11-07,4.0,AA
AA251107C00038000,38.0,0.9,0.0,0.96,1.0,5,0.5429733203125001,False,CALL,2025-11-07,6.0,AA
AA251107P00025000,25.0,0.22,0.0,0.17,20.0,20,0.5195360546875,False,PUT,2025-11-07,40.0,AA
AA251107P00027000,27.0,0.33,0.0,0.33,1.0,1,0.5654340332031251,False,PUT,2025-11-07,2.0,AA
AA251107P00029000,29.0,0.88,0.0,0.67,10.0,10,0.5537154003906251,False,PUT,2025-11-07,20.0,AA
AA251107P00030000,30.0,1.18,0.0,0.92,19.0,19,0.5498091894531252,False,PUT,2025-11-07,38.0,AA
AA251107P00031000,31.0,1.27,0.0,1.39,1.0,41,0.586918193359375,False,PUT,2025-11-07,42.0,AA
AA251107P00032000,32.0,2.2,1.51,1.73,3.0,3,0.5454147021484376,False,PUT,2025-11-07,6.0,AA
AA251107P00033000,33.0,1.73,1.95,2.03,5.0,1,0.52539537109375,False,PUT,2025-11-07,6.0,AA
AA251107P00034000,34.0,3.11,2.46,2.68,2.0,2,0.5380905566406251,True,PUT,2025-11-07,4.0,AA
AA251107P00035000,35.0,4.5,3.0,3.1,,10,0.5131884619140624,True,PUT,2025-11-07,10.0,AA
AA251121C00025000,25.0,8.93,8.9,9.05,4.0,41,0.5976602734375001,True,CALL,2025-11-21,45.0,AA
